#
# Rates from 'La Poste Colissimo' from France / March 2010
#
# This file is part of the django-colissimo module
#
# Official docs: http://www.laposte.fr/content/download/7759/57850/file/Tarifs%20au%20d%C3%A9part%20de%20France%20M%C3%A9tropolitaine%20%C3%A0%20compter%20du%201%20mars%202010%20.pdf?espace=particulier
#
# This file is parsed by the 'genfixtures.py' script (in the same directory)
# which generates the initial fixture data to load into the database (using syncdb)
#
# Everything after a '#' is ignored (comments)
# Spaces between comas are ignored
# Lines starting with '::' must be a coma-separated line of values for (in this order):
#  model_name,fieldname1,fieldname2,...
#
# Author: Mathias Monnerville <mathias@monnerville.com>
#

# All supported regions
::region,name
France - Monaco - Andore
Outre-mer OM1
Outre-mer OM2
International Zone A
International Zone B
International Zone C
International Zone D

# All compensation rates, prices in Euro
::recommanded,level,price
R0,23 # 23E/kg
R1,50
R2,200
R3,400
R4,600
R5,800
ECO,23 # 23E/kg

######################### Region: France, Monaco, Andorra ######################

# Region: France, Monaco, Andorra
# Colissimo France sans recommande R0
::rate,weight,price,signature,deposit,tracking,region,recommanded
0.5, 5.55,  0,1,1,1,1
  1, 6.80,  0,1,1,1,1
  2, 7.75,  0,1,1,1,1
  3, 8.70,  0,1,1,1,1
  5,10.60,  0,1,1,1,1
  7,12.50,  0,1,1,1,1
 10,15.35,  0,1,1,1,1
 15,17.45,  0,1,1,1,1
 30,23.75,  0,1,1,1,1

# Region: France, Monaco, Andorra
# Colissimo France avec recommande R1
::rate,weight,price,signature,deposit,tracking,region,recommanded
0.5, 7.85,  1,1,1,1,2
  1, 9.10,  1,1,1,1,2
  2,10.05,  1,1,1,1,2
  3,11.00,  1,1,1,1,2
  5,12.90,  1,1,1,1,2
  7,14.80,  1,1,1,1,2
 10,17.65,  1,1,1,1,2
 15,19.75,  1,1,1,1,2
 30,26.05,  1,1,1,1,2

# Region: France, Monaco, Andorra
# Colissimo France avec recommande R2
::rate,weight,price,signature,deposit,tracking,region,recommanded
0.5, 8.75,  1,1,1,1,3
  1,10.00,  1,1,1,1,3
  2,10.95,  1,1,1,1,3
  3,11.90,  1,1,1,1,3
  5,13.80,  1,1,1,1,3
  7,15.70,  1,1,1,1,3
 10,18.55,  1,1,1,1,3
 15,20.65,  1,1,1,1,3
 30,26.95,  1,1,1,1,3

# Region: France, Monaco, Andorra
# Colissimo France avec recommande R3
::rate,weight,price,signature,deposit,tracking,region,recommanded
0.5, 9.95,  1,1,1,1,4
  1,11.20,  1,1,1,1,4
  2,12.15,  1,1,1,1,4
  3,13.10,  1,1,1,1,4
  5,15.00,  1,1,1,1,4
  7,16.90,  1,1,1,1,4
 10,19.75,  1,1,1,1,4
 15,21.85,  1,1,1,1,4
 30,28.15,  1,1,1,1,4

# Region: France, Monaco, Andorra
# Colissimo France avec recommande R4
::rate,weight,price,signature,deposit,tracking,region,recommanded
0.5,11.15,  1,1,1,1,5
  1,12.40,  1,1,1,1,5
  2,13.35,  1,1,1,1,5
  3,14.30,  1,1,1,1,5
  5,16.20,  1,1,1,1,5
  7,18.10,  1,1,1,1,5
 10,20.95,  1,1,1,1,5
 15,23.05,  1,1,1,1,5
 30,29.35,  1,1,1,1,5

# Region: France, Monaco, Andorra
# Colissimo France avec recommande R5
::rate,weight,price,signature,deposit,tracking,region,recommanded
0.5,12.35,  1,1,1,1,6
  1,13.60,  1,1,1,1,6
  2,14.55,  1,1,1,1,6
  3,15.50,  1,1,1,1,6
  5,17.40,  1,1,1,1,6
  7,19.30,  1,1,1,1,6
 10,22.15,  1,1,1,1,6
 15,24.25,  1,1,1,1,6
 30,30.55,  1,1,1,1,6


######################### Region: outre-mer ######################
##### OM1

# Region: outre-mer OM1
# Colissimo France sans recommande ECO
::rate,weight,price,signature,deposit,tracking,region,recommanded
0.5,  6.90,  0,1,0,2,7
  1,  8.80,  0,1,0,2,7
  2,  9.80,  0,1,0,2,7
  3, 10.80,  0,1,0,2,7
  4, 11.80,  0,1,0,2,7
  5, 12.80,  0,1,0,2,7
  6, 13.80,  0,1,0,2,7
  7, 15.35,  0,1,0,2,7
  8, 16.90,  0,1,0,2,7
  9, 18.45,  0,1,0,2,7
 10, 20.00,  0,1,0,2,7
 15, 26.00,  0,1,0,2,7
 20, 32.00,  0,1,0,2,7
 25, 38.00,  0,1,0,2,7
 30, 44.00,  0,1,0,2,7

# Region: outre-mer OM1
# Colissimo France avec recommande R0
::rate,weight,price,signature,deposit,tracking,region,recommanded
0.5,  8.45,  0,1,1,2,1
  1, 12.70,  0,1,1,2,1
  2, 17.35,  0,1,1,2,1
  3, 22.00,  0,1,1,2,1
